,source,relation,destination
0,Coronavirus disease,caused by,severe acute respiratory syndrome coronavirus 2
1,case,identified in,Wuhan
2,case,identified in,December 2019
3,disease,leading to,ongoing pandemic
4,Symptoms,include,fever
5,Symptoms,include,difficulties
6,Symptoms,include,smell and
7,Symptoms,begin after,one to fourteen days exposure
8,Symptoms,begin after,Coronavirus disease 2019
9,who,develop,noticeable symptoms
10,who,develop,noticeable symptoms enough
11,who,classed as,patients
12,most,develop Of,moderate symptoms
13,most,develop Of,mild pneumonia
14,14 %,develop,severe symptoms
15,14 %,develop,more than 50 % lung imaging
16,5 %,suffer,critical symptoms
17,Older people,are,higher risk
18,Older people,developing,severe symptoms
19,people,experience for,range
20,people,experience for,effects
21,people,experience for,long months
22,people,experience for,recovery
23,damage,experience for,organs
24,year studies,investigate,term effects
25,year studies,investigate,disease
26,people,containing,respiratory droplets and
27,people,exhaled by,infected person
28,particles,reach through,mouth
29,particles,reach through,person
30,particles,reach through,touching deposition
31,people,are,close proximity
32,people,are,long time
33,particles,inhaled over,longer distances
34,particles,ventilated,spaces
35,small particles,suspended in,air
36,small particles,suspended in,minutes
37,small particles,suspended in,hours
38,Touching,contaminated,surface or
39,Touching,lead to,infection
40,Touching,contribute to,transmission
41,who,transmit to,virus
42,who,transmit to,person
43,who,transmit to,up to two days People
44,who,infected,show symptoms
45,who,experience,symptoms
46,People,remain for,up to ten days
47,People,remain for,onset
48,People,remain for,symptoms
49,People,remain for,moderate cases
50,People,remain for,up to twenty days
51,People,remain for,severe cases
52,Several testing methods,diagnose,infection
53,standard diagnostic method,is,detection
54,standard diagnostic method,is,nucleic acid
55,standard diagnostic method,mediated,amplification
56,standard diagnostic method,mediated,isothermal amplification
57,standard diagnostic method,mediated,nasopharyngeal RT swab
58,Preventive measures,include,physical distancing
59,Preventive measures,include,indoor spaces
60,Preventive measures,covering,coughs and
61,Preventive measures,keeping,unwashed hands
62,Preventive measures,keeping,face
63,use,recommended in,public settings
64,use,minimize,risk
65,use,minimize,transmissions
66,work,develop,drugs
67,work,inhibit,virus
68,several vaccines,inhibit,virus
69,several vaccines,distributed in,various countries
70,several vaccines,initiated,mass vaccination campaigns
71,Management,involve,treatment
72,Management,involve,symptoms
73,virus,referred to,coronavirus
74,virus,referred to,Wuhan infection
75,many diseases,named after,geographical locations
76,many diseases,named after,Spanish flu
77,WHO,recommended In,2019-nCov
78,WHO,recommended In,interim names
79,WHO,recommended In,virus and
80,WHO,recommended In,2015 guidance and
81,WHO,using in,geographical locations
82,WHO,using in,animal people
83,WHO,using in,disease and
84,WHO,using in,part
85,WHO,prevent,social stigma
86,official names,issued by,WHO
87,official names,issued by,11 February 2020
88,Tedros Adhanom,explained,CO
89,Tedros Adhanom,explained,corona
90,Tedros Adhanom,explained,virus
91,Tedros Adhanom,explained,disease
92,WHO,use in,COVID-19 virus
93,WHO,use in,responsible COVID-19
94,WHO,use in,public communications
95,Symptoms,ranging from,mild symptoms
96,Symptoms,ranging from,severe illness
97,Common symptoms,include,headache
98,Common symptoms,include,smell and
99,People,have,different symptoms
100,People,have,same infection symptoms
101,People,change over,time
102,Three common clusters,identified,one respiratory symptom cough
103,Three common clusters,identified,breath
104,Three common clusters,identified,musculoskeletal symptom muscle and
105,Three common clusters,identified,digestive symptoms
106,Three common clusters,identified,abdominal pain
107,throat loss,combined with,loss
108,throat loss,combined with,smell
109,throat loss,associated with,COVID-19
110,who,show,symptoms
111,81 %,develop Of,moderate symptoms
112,81 %,develop Of,mild pneumonia
113,14 %,develop,severe symptoms
114,14 %,develop,more than 50 % lung imaging
115,5 %,develop,patients
116,5 %,suffer,critical symptoms
117,who,infected with,virus
118,who,develop at,noticeable symptoms
119,who,develop at,point
120,who,develop at,time
121,who,infected with,virus
122,who,spread,disease
123,Other infected people,develop,symptoms
124,Other infected people,have,mild symptoms
125,Other infected people,spread,virus
126,symptomatic people,experience within,symptoms
127,symptomatic people,experience within,two to seven days exposure
128,symptomatic people,experience within,one symptom
129,symptomatic people,experience within,12 days
130,COVID-19,caused by,infection
131,COVID-19,caused by,severe acute respiratory syndrome coronavirus 2
132,disease,transmitted via,respiratory route
133,people,inhale,droplets and
134,people,infected,people
135,infection,occur over,longer distances
136,people,are,onset
137,people,are,symptoms
138,It,decline after,first week
139,infected people,remain for,up to 20 days
140,People,spread,disease
141,Infectious particles,range in,size
142,Infectious particles,range in,aerosols
143,Infectious particles,suspended in,air
144,Infectious particles,suspended in,long periods
145,Infectious particles,suspended in,time
